lacI_lacZ,lacY_lacA,lacY_lacZ,lacZ_lacY,length,max_distance,mean_distance,y
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,52.0,33.5,1.0
0.0,0.0,1.0,0.0,4316.0,13.0,13.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,52.0,33.5,1.0
0.0,1.0,0.0,1.0,5056.0,57.0,54.5,1.0
0.0,1.0,0.0,1.0,5056.0,52.0,33.5,1.0
0.0,0.0,0.0,1.0,4427.0,49.0,49.0,1.0
0.0,0.0,0.0,1.0,4379.0,52.0,52.0,1.0
0.0,0.0,0.0,1.0,4379.0,52.0,52.0,1.0
0.0,0.0,0.0,1.0,4379.0,52.0,52.0,1.0
0.0,1.0,0.0,1.0,5016.0,54.0,36.0,1.0
0.0,1.0,0.0,1.0,5056.0,72.0,62.0,1.0
0.0,1.0,0.0,1.0,5056.0,57.0,54.5,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,0.0,0.0,1.0,4379.0,52.0,52.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,0.0,0.0,1.0,4379.0,52.0,52.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,0.0,0.0,1.0,4427.0,49.0,49.0,1.0
0.0,0.0,0.0,1.0,5740.0,52.0,26.0,1.0
1.0,1.0,0.0,1.0,7171.0,123.0,79.5,1.0
0.0,1.0,0.0,1.0,5056.0,57.0,54.5,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,0.0,0.0,1.0,4379.0,52.0,52.0,1.0
0.0,0.0,0.0,1.0,4379.0,52.0,52.0,1.0
0.0,0.0,0.0,1.0,4388.0,52.0,52.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,0.0,0.0,1.0,4820.0,52.0,10.0,1.0
0.0,0.0,0.0,1.0,4380.0,0.0,-115.0,1.0
0.0,0.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,52.0,33.5,1.0
0.0,1.0,0.0,1.0,5056.0,52.0,33.5,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,0.0,0.0,1.0,4380.0,0.0,-118.0,1.0
0.0,0.0,0.0,1.0,4380.0,50.0,50.0,1.0
0.0,0.0,0.0,1.0,4427.0,61.0,61.0,1.0
0.0,1.0,0.0,1.0,5056.0,52.0,33.5,1.0
0.0,1.0,0.0,1.0,5056.0,57.0,54.5,1.0
0.0,1.0,0.0,1.0,5056.0,52.0,33.5,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,57.0,54.5,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5050.0,52.0,33.5,1.0
0.0,1.0,0.0,1.0,5056.0,57.0,54.5,1.0
0.0,1.0,0.0,1.0,5056.0,57.0,54.5,1.0
0.0,1.0,0.0,1.0,5056.0,52.0,33.5,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,1.0,0.0,1.0,5056.0,66.0,59.0,1.0
0.0,0.0,1.0,0.0,4311.0,11.0,11.0,1.0
0.0,0.0,0.0,0.0,1924.0,0.0,-3.0,0.0
0.0,0.0,0.0,0.0,8740.0,13.0,5.142857142857143,0.0
0.0,0.0,0.0,0.0,10853.0,6.0,-8.75,0.0
0.0,0.0,0.0,0.0,2960.0,4.0,-3.0,0.0
0.0,0.0,0.0,0.0,7120.0,93.0,59.666666666666664,0.0
0.0,0.0,0.0,0.0,4656.0,52.0,-16.666666666666668,0.0
0.0,0.0,0.0,0.0,955.0,15.0,15.0,0.0
0.0,0.0,0.0,0.0,6474.0,88.0,33.166666666666664,0.0
0.0,0.0,0.0,0.0,6369.0,22.0,13.166666666666666,0.0
0.0,0.0,0.0,0.0,6369.0,22.0,13.166666666666666,0.0
0.0,0.0,0.0,0.0,4872.0,47.0,47.0,0.0
0.0,0.0,0.0,0.0,6500.0,22.0,12.571428571428571,0.0
0.0,0.0,0.0,0.0,6369.0,22.0,13.166666666666666,0.0
0.0,0.0,0.0,0.0,6369.0,22.0,13.166666666666666,0.0
0.0,0.0,0.0,0.0,6400.0,20.0,12.333333333333334,0.0
0.0,0.0,0.0,0.0,2893.0,31.0,14.666666666666666,0.0
0.0,0.0,0.0,0.0,2240.0,22.0,22.0,0.0
0.0,0.0,0.0,0.0,2821.0,75.0,30.666666666666668,0.0
0.0,0.0,0.0,0.0,2893.0,31.0,14.666666666666666,0.0
0.0,0.0,0.0,0.0,1262.0,25.0,25.0,0.0
0.0,0.0,0.0,0.0,1928.0,36.0,26.5,0.0
0.0,0.0,0.0,0.0,2431.0,82.0,35.666666666666664,0.0
0.0,0.0,0.0,0.0,6462.0,88.0,33.166666666666664,0.0
0.0,0.0,0.0,0.0,4174.0,0.0,-3.0,0.0
0.0,0.0,0.0,0.0,6369.0,22.0,13.166666666666666,0.0
0.0,0.0,0.0,0.0,1315.0,15.0,12.5,0.0
0.0,0.0,0.0,0.0,6457.0,73.0,30.333333333333332,0.0
0.0,0.0,0.0,0.0,3448.0,24.0,24.0,0.0
0.0,0.0,0.0,0.0,2904.0,11.0,11.0,0.0
0.0,0.0,0.0,0.0,2510.0,27.0,19.0,0.0
0.0,0.0,0.0,0.0,6363.0,26.0,14.166666666666666,0.0
0.0,0.0,0.0,0.0,2884.0,17.0,11.666666666666666,0.0
0.0,0.0,0.0,0.0,3833.0,54.0,22.0,0.0
0.0,0.0,0.0,0.0,6400.0,20.0,12.333333333333334,0.0
0.0,0.0,0.0,0.0,4016.0,19.0,19.0,0.0
0.0,0.0,0.0,0.0,1315.0,15.0,12.5,0.0
0.0,0.0,0.0,0.0,978.0,35.0,35.0,0.0
0.0,0.0,0.0,0.0,969.0,26.0,26.0,0.0
0.0,0.0,0.0,0.0,8081.0,35.0,12.666666666666666,0.0
0.0,0.0,0.0,0.0,3511.0,24.0,24.0,0.0
0.0,0.0,0.0,0.0,3409.0,82.0,42.5,0.0
0.0,0.0,0.0,0.0,2431.0,82.0,34.666666666666664,0.0
0.0,0.0,0.0,0.0,6457.0,73.0,30.333333333333332,0.0
0.0,0.0,0.0,0.0,3511.0,78.0,78.0,0.0
0.0,0.0,0.0,0.0,5856.0,35.0,14.75,0.0
0.0,0.0,0.0,0.0,5541.0,83.0,41.333333333333336,0.0
0.0,0.0,0.0,0.0,4988.0,4.0,4.0,0.0
0.0,0.0,0.0,0.0,4988.0,4.0,4.0,0.0
0.0,0.0,0.0,0.0,2985.0,41.0,19.333333333333332,0.0
0.0,0.0,0.0,0.0,6729.0,37.0,19.25,0.0
0.0,0.0,0.0,0.0,6704.0,14.0,3.0,0.0
0.0,0.0,0.0,0.0,3933.0,11.0,11.0,0.0
0.0,0.0,0.0,0.0,6404.0,20.0,13.0,0.0
0.0,0.0,0.0,0.0,7239.0,0.0,-27.666666666666668,0.0
0.0,0.0,0.0,0.0,955.0,12.0,12.0,0.0
0.0,0.0,0.0,0.0,6456.0,73.0,30.166666666666668,0.0
0.0,0.0,0.0,0.0,7239.0,20.0,3.3333333333333335,0.0
0.0,0.0,0.0,0.0,1315.0,15.0,12.5,0.0
0.0,0.0,0.0,0.0,6474.0,88.0,33.166666666666664,0.0
0.0,0.0,0.0,0.0,3833.0,54.0,22.0,0.0
0.0,0.0,0.0,0.0,6370.0,22.0,13.333333333333334,0.0
0.0,0.0,0.0,0.0,6369.0,22.0,13.166666666666666,0.0
0.0,0.0,0.0,0.0,6369.0,22.0,13.166666666666666,0.0
0.0,0.0,0.0,0.0,7239.0,0.0,-28.666666666666668,0.0
0.0,0.0,0.0,0.0,856.0,15.0,15.0,0.0
0.0,0.0,0.0,0.0,6457.0,73.0,30.333333333333332,0.0
0.0,0.0,0.0,0.0,7238.0,33.0,-13.25,0.0
0.0,0.0,0.0,0.0,955.0,12.0,12.0,0.0
0.0,0.0,0.0,0.0,6457.0,73.0,30.333333333333332,0.0
0.0,0.0,0.0,0.0,7239.0,0.0,-28.666666666666668,0.0
0.0,0.0,0.0,0.0,856.0,15.0,15.0,0.0
0.0,0.0,0.0,0.0,6457.0,73.0,30.333333333333332,0.0
0.0,0.0,0.0,0.0,7239.0,0.0,-28.666666666666668,0.0
0.0,0.0,0.0,0.0,1315.0,12.0,11.0,0.0
0.0,0.0,0.0,0.0,6474.0,88.0,33.166666666666664,0.0
0.0,0.0,0.0,0.0,3194.0,6.0,1.0,0.0
0.0,0.0,0.0,0.0,4913.0,4.0,4.0,0.0
0.0,0.0,0.0,0.0,3448.0,78.0,78.0,0.0
0.0,0.0,0.0,0.0,3448.0,78.0,78.0,0.0
0.0,0.0,0.0,0.0,4321.0,102.0,0.0,0.0
0.0,0.0,0.0,0.0,5718.0,53.0,-8.4,0.0
0.0,0.0,0.0,0.0,4887.0,83.0,27.0,0.0
0.0,0.0,0.0,0.0,2812.0,45.0,29.666666666666668,0.0
0.0,0.0,0.0,0.0,4027.0,12.0,12.0,0.0
0.0,0.0,0.0,0.0,2496.0,19.0,14.333333333333334,0.0
