,gene,gi,operon_id,organism_id
0,hlyC,260763803,626135,474
1,hlyA,260763804,626135,474
2,hlyB,260763805,626135,474
3,hlyD,260763806,626135,474
65,thrL,260853214,623968,514
66,thrA,260853215,623968,514
67,thrB,260853216,623968,514
68,thrC,260853217,623968,514
70,yaaA,260853219,623969,514
71,yaaJ,260853220,623969,514
72,talB,260853221,623970,514
73,mogA,260853222,623970,514
75,yaaW,260853224,623971,514
76,yaaI,260853225,623971,514
77,dnaK,260853226,623972,514
78,dnaJ,260853227,623972,514
79,mokC,260853228,623973,514
80,hokC1,260853229,623973,514
81,nhaA,260853230,623974,514
82,nhaR,260853231,623974,514
85,yaaY,260853234,623975,514
86,ribF,260853235,623975,514
87,ileS,260853236,623975,514
88,lspA,260853237,623975,514
89,fkpB,260853238,623976,514
90,ispH,260853239,623976,514
91,rihC,260853240,623976,514
93,carA,260853242,623977,514
94,carB,260853243,623977,514
97,caiE,260853246,623978,514
98,caiD,260853247,623978,514
99,caiC,260853248,623978,514
100,caiB,260853249,623978,514
101,caiA,260853250,623979,514
102,caiT,260853251,623979,514
103,fixA,260853252,623980,514
104,fixB,260853253,623980,514
105,fixC,260853254,623980,514
106,fixX,260853255,623980,514
107,yaaU,260853256,623980,514
108,kefF,260853257,623981,514
109,kefC,260853258,623981,514
121,rluA,260853270,623983,514
122,hepA,260853271,623983,514
125,araA,260853274,623984,514
126,araB,260853275,623984,514
127,araC,260853276,623985,514
128,yabI,260853277,623985,514
129,thiQ,260853278,623986,514
130,thiP,260853279,623986,514
131,tbpA,260853280,623986,514
135,leuD,260853284,623987,514
136,leuC,260853285,623987,514
137,leuB,260853286,623987,514
138,leuA,260853287,623987,514
141,ilvI,260853290,623988,514
142,ilvH,260853291,623988,514
143,fruR,260853292,623988,514
145,mraZ,260853294,623989,514
146,mraW,260853295,623989,514
147,ftsL,260853296,623989,514
148,ftsI,260853297,623989,514
149,murE,260853298,623989,514
150,murF,260853299,623989,514
151,mraY,260853300,623989,514
152,murD,260853301,623989,514
153,ftsW,260853302,623989,514
154,murG,260853303,623989,514
155,murC,260853304,623989,514
156,ddl,260853305,623989,514
157,ftsQ,260853306,623989,514
158,ftsA,260853307,623989,514
159,ftsZ,260853308,623989,514
161,secM,260853310,623990,514
162,secA,260853311,623990,514
165,yacG,260853314,623991,514
166,yacF,260853315,623991,514
167,coaE,260853316,623991,514
169,hofC/hcpC,260853318,623992,514
170,hofB/hcpB,260853319,623992,514
171,ppdD/hcpA,260853320,623992,514
173,ampD,260853322,623993,514
174,ampE,260853323,623993,514
177,aceE,260853326,623994,514
178,aceF,260853327,623994,514
183,speD,260853332,623995,514
184,speE,260853333,623995,514
190,yadG,260853339,623996,514
191,yadH,260853340,623996,514
196,panC,260853345,623997,514
197,panB,260853346,623997,514
204,folK,260853353,623999,514
205,pcnB,260853354,623999,514
206,yadB,260853355,624000,514
207,dksA,260853356,624000,514
208,sfsA,260853357,624001,514
209,ligT,260853358,624001,514
212,fhuA,260853361,624002,514
213,fhuC,260853362,624002,514
214,fhuD,260853363,624002,514
215,fhuB,260853364,624002,514
217,clcA,260853366,624003,514
218,yadR,260853367,624003,514
219,yadS,260853368,624004,514
220,btuF,260853369,624004,514
221,pfs,260853370,624004,514
227,dapD,260853376,624005,514
228,glnD,260853377,624005,514
231,tsf,260853380,624006,514
232,pyrH,260853381,624006,514
233,frr,260853382,624007,514
234,dxr,260853383,624007,514
235,ispU,260853384,624008,514
236,cdsA,260853385,624008,514
237,rseP,260853386,624008,514
238,bamA,260853387,624008,514
239,skp,260853388,624009,514
240,lpxD,260853389,624009,514
241,fabZ,260853390,624009,514
242,lpxA,260853391,624009,514
243,lpxB,260853392,624009,514
244,rnhB,260853393,624009,514
245,dnaE,260853394,624009,514
246,accA,260853395,624009,514
247,ldcC,260853396,624010,514
248,yaeR,260853397,624010,514
249,tilS,260853398,624010,514
250,rof,260853399,624011,514
251,yaeP,260853400,624011,514
252,yaeQ,260853401,624012,514
253,yaeJ,260853402,624012,514
254,nlpE,260853403,624012,514
257,yaeB,260853406,624013,514
258,rcsF,260853407,624013,514
259,metQ,260853408,624014,514
260,metI,260853409,624014,514
261,metN,260853410,624014,514
267,mltD,260853416,624015,514
268,gloB,260853417,624015,514
295,lfhA,260853444,624021,514
296,flhB,260853445,624021,514
297,lfiR,260853446,624021,514
298,lfiQ,260853447,624021,514
299,fliP,260853448,624021,514
300,lfiN,260853449,624021,514
301,lfiM,260853450,624021,514
311,lfgN,260853460,624023,514
312,lfgM,260853461,624023,514
314,lfgB,260853463,624024,514
315,flgC,260853464,624024,514
316,lfgD,260853465,624024,514
317,lfgE,260853466,624024,514
318,flgF,260853467,624024,514
319,flgG,260853468,624024,514
320,flgH,260853469,624024,514
321,flgI,260853470,624024,514
322,lfgJ,260853471,624024,514
323,lfgK,260853472,624025,514
324,lfgL,260853473,624025,514
325,lafW,260853474,624025,514
328,lafB,260853477,624026,514
329,lafC,260853478,624026,514
330,lafD,260853479,624026,514
331,lafE,260853480,624026,514
332,lafF,260853481,624026,514
333,lafS,260853482,624026,514
334,lafT,260853483,624026,514
335,lafU,260853484,624026,514
336,dinB,260853485,624026,514
337,yafP,260853486,624026,514
338,ykfJ,260853487,624027,514
339,prfH,260853488,624027,514
342,frsA,260853491,624028,514
343,crl,260853492,624028,514
345,proB,260853494,624029,514
346,proA,260853495,624029,514
364,yagQ,260853513,624034,514
365,yagR,260853514,624034,514
366,yagS,260853515,624034,514
367,yagT,260853516,624034,514
370,ecpE,260853519,624035,514
371,ecpD,260853520,624035,514
372,ecpC,260853521,624035,514
373,ecpB/matC,260853522,624035,514
374,matB/ecpA,260853523,624035,514
375,ecpR/matA,260853524,624035,514
377,rpmJ,260853526,624036,514
378,rpmE2,260853527,624036,514
382,ykgB,260853531,624037,514
383,ykgI,260853532,624037,514
386,ykgE,260853535,624038,514
387,ykgF,260853536,624038,514
388,ykgG,260853537,624038,514
391,betA,260853540,624039,514
392,betB,260853541,624039,514
393,betI,260853542,624039,514
397,yahD,260853546,624040,514
398,yahE,260853547,624040,514
399,yahF,260853548,624040,514
400,yahG,260853549,624040,514
401,yahI,260853550,624041,514
402,yahJ,260853551,624041,514
413,prpB,260853562,624043,514
414,prpC,260853563,624043,514
415,prpD,260853564,624043,514
416,prpE,260853565,624043,514
417,codB,260853566,624044,514
418,codA,260853567,624044,514
420,cynT,260853569,624045,514
421,cynS,260853570,624045,514
422,cynX,260853571,624045,514
423,lacY,260853572,624046,514
424,lacZ,260853573,624046,514
425,lacI,260853574,624047,514
426,mhpR,260853575,624047,514
427,mhpA,260853576,624048,514
428,mhpB,260853577,624048,514
429,mhpC,260853578,624048,514
430,mhpD,260853579,624048,514
431,mhpF,260853580,624048,514
432,mhpE,260853581,624048,514
435,frmB,260853584,624049,514
436,frmA,260853585,624049,514
437,frmR,260853586,624049,514
440,yaiP,260853589,624051,514
441,yaiS,260853590,624051,514
442,tauA,260853591,624052,514
443,tauB,260853592,624052,514
444,tauC,260853593,624052,514
445,tauD,260853594,624052,514
450,sbmA,260853599,624053,514
451,yaiW,260853600,624053,514
461,aroL,260853610,624054,514
462,yaiA,260853611,624054,514
463,aroM,260853612,624055,514
464,yaiE,260853613,624055,514
468,sbcC,260853617,624056,514
469,sbcD,260853618,624056,514
470,phoB,260853619,624057,514
471,phoR,260853620,624057,514
472,brnQ,260853621,624058,514
473,proY,260853622,624058,514
476,queA,260853625,624059,514
477,tgt,260853626,624059,514
478,yajC,260853627,624059,514
479,secD,260853628,624059,514
480,secF,260853629,624059,514
484,nrdR,260853633,624060,514
485,ribD,260853634,624060,514
486,ribH,260853635,624060,514
487,nusB,260853636,624060,514
488,thiL,260853637,624061,514
489,pgpA,260853638,624061,514
491,dxs,260853640,624062,514
492,ispA,260853641,624062,514
493,xseB,260853642,624062,514
495,yajL,260853644,624063,514
496,panE,260853645,624063,514
502,cyoE,260853651,624065,514
503,cyoD,260853652,624065,514
504,cyoC,260853653,624065,514
505,cyoB,260853654,624065,514
506,cyoA,260853655,624065,514
507,ampG,260853656,624066,514
508,yajG,260853657,624066,514
511,clpP,260853660,624067,514
512,clpX,260853661,624067,514
518,ybaX,260853667,624068,514
519,ybaE,260853668,624068,514
521,ybaO,260853670,624069,514
522,mdlA,260853671,624069,514
523,mdlB,260853672,624069,514
524,glnK,260853673,624070,514
525,amtB,260853674,624070,514
533,hha,260853682,624071,514
534,ybaJ,260853683,624071,514
535,acrB,260853684,624072,514
536,acrA,260853685,624072,514
540,ybaM,260853689,624073,514
541,priC,260853690,624073,514
543,apt,260853692,624074,514
544,dnaX,260853693,624074,514
545,ybaB,260853694,624074,514
546,recR,260853695,624074,514
559,ybaS,260853708,624075,514
560,ybaT,260853709,624075,514
562,ybbJ,260853711,624076,514
563,ybbK,260853712,624076,514
564,ybbL,260853713,624077,514
565,ybbM,260853714,624077,514
566,ybbN,260853715,624078,514
567,ybbO,260853716,624078,514
568,tesA,260853717,624078,514
569,ybbA,260853718,624079,514
570,ybbP,260853719,624079,514
572,ybbB,260853721,624080,514
